author,coauthor,count
"Xu, Xiangmin","Wang, Zhenyu",2
"Xu, Xiangmin","Xing, Xiaofen",2
"Xu, Xiangmin","Liu, Qi",2
"Huang, Xijie","Cheng, Kwang-Ting",2
"Choi, Yejin","Bhagavatula, Chandra",2
"Ravichander, Abhilasha","Chandu, Khyathi",2
"Ravichander, Abhilasha","Choi, Yejin",2
"Ravichander, Abhilasha","Lin, Bill Yuchen",2
"Choi, Yejin","Chandu, Khyathi",2
"Lin, Bill Yuchen","Chandu, Khyathi",2
"Lin, Bill Yuchen","Choi, Yejin",2
"Mao, Yuning","Khabsa, Madian",2
"Liu, Lei","Gu, Jinjie",2
"Yang, Xiaoyan","Liu, Lei",2
"Yang, Xiaoyan","Shen, Yue",2
"Xu, Xiangmin","Chen, Yirong",2
"Liu, Qi","Chen, Yirong",2
"Xing, Xiaofen","Liu, Qi",2
"Yang, Yuqing","Qiu, Lili",2
"Wu, Qianhui","Lin, Chin-Yew",2
"Wu, Qianhui","Qiu, Lili",2
"Lin, Chin-Yew","Jiang, Huiqiang",2
"Yang, Yuqing","Jiang, Huiqiang",2
"Yang, Yuqing","Wu, Qianhui",2
"Yang, Yuqing","Lin, Chin-Yew",2
"Qiu, Lili","Jiang, Huiqiang",2
"Xing, Xiaofen","Wang, Zhenyu",2
"Qiu, Lili","Lin, Chin-Yew",2
"Wu, Xiao-Ming","Liu, Bo",2
"Yang, Chenyang","Kästner, Christian",2
"Wang, Zhenyu","Chen, Yirong",2
"Wang, Zhenyu","Liu, Qi",2
"Xing, Xiaofen","Chen, Yirong",2
"Ren, Shujie","Lam, Man Ho",2
"Zhou, Hao","Sun, Xu",2
"Li, Eric John","Jiao, Wenxiang",2
"Mousi, Basel","Durrani, Nadir",2
"Wong, Kam-Fai","Wang, Hongru",2
"Wong, Kam-Fai","Wang, Zezhong",2
"Han, Jiuzhou","Collier, Nigel",2
"Shareghi, Ehsan","Han, Jiuzhou",2
"Shareghi, Ehsan","Collier, Nigel",2
"Zheng, Zangwei","Xue, Fuzhao",2
"Zheng, Zangwei","You, Yang",2
"You, Yang","Xue, Fuzhao",2
"Wang, Boshi","Sun, Huan",2
"Wang, Xiaohan","Chen, Huajun",2
"Yao, Yunzhi","Wang, Xiaohan",2
"Yao, Yunzhi","Chen, Huajun",2
"Zhang, Ningyu","Wang, Xiaohan",2
"Zhang, Ningyu","Yao, Yunzhi",2
"Zhang, Ningyu","Chen, Huajun",2
"Wang, Zezhong","Wang, Hongru",2
"Xu, Zhaozhuo","Shrivastava, Anshumali",2
"Yang, Xianjun","Wang, William Yang",2
"Zhao, Wayne Xin","Tang, Tianyi",2
"Lee, Kangwook","Lee, Gibbeum",2
"Tang, Tianyi","Huang, Haoyang",2
"Zhang, Dongdong","Huang, Haoyang",2
"Zhang, Dongdong","Tang, Tianyi",2
